Surf Spots,Latitude,Longitude
" Eisbach, Munich",48.1351,11.582
" Baja Malibu, Baja Norte, Mexico",32.5225,-117.046623
" Fulong Beach, Taiwan",25.022,121.9432
" Surin Beach, Phuket, Thailand",7.975473,98.278467
" Arugam Bay, Sri Lanka",6.8404,81.8368
"Surfer's Point, Barbados",13.0529,59.506
" The Bubble, Fuerteventura, Canary Islands",28.291565,-16.629129
"Black's Beach, San Diego, California",32.8907,117.2535
" Cape Hatteras Lighthouse, Buxton, North Carolina",35.2505,75.5288
" Surf pool, United Arab Emirates",25.2048,55.2708
" Biarritz, France",43.4832,1.5586
" Ponta Preta, Maio, Cape Verde",15.1282,23.2069
" Tofino, Vancouver Island, Canada",49.153,125.9066
" Byron Bay, New South Wales, Australia",28.6474,153.602
" Les Cavaliers, Anglet, France",43.5208,1.5266
" Killer Point, Taghazoute, Morocco",30.5453,9.709
" Pedra Branca Ericeira, Portugal",38.9781,9.4213
" Sao Francisco do Sul, Brazil",26.2492,48.6356
" Coconuts, Samoa",13.759,172.1046
" Carrapateira, Portugal",37.1843,8.8958
" Hanalei Bay, Hawaii",22.2091,159.5068
" Rincon, Puerto Rico",18.3402,67.2499
" Bundoran Beach, County Donegal, Ireland",54.4831,8.278
" Tamarindo Beach, Tamarindo, Costa Rica",10.3019,85.8411
" Pasta Point, Maldives",1.924992,73.399658
" Backdoor, Oahu, Hawaii",21.4389,158.0001
" Watergate Bay, Cornwall, England",50.4667,-5.05
" Cloudbreak, Tavarua Island, Fiji",17.8581,177.2018
" Superbank, Gold Coast, Australia",-28.016666,153.399994
" Surfrider Beach, Malibu, California",34.0336,118.6804
" The Box, Margaret River Valley, Australia",-33.9536,115.0739
" Jaws, Maui, Hawaii",20.9423,156.2969
" Riyuewan, Sanya, Hainan Island, China",18.252847,109.511909
" Manu Bay, Raglan, New Zealand",-37.801406,174.871795
" Nihiwatu, Sumba, Indonesia",120,-9.666667
" Rincon, Santa Barbara, California",34.335553,-119.407061
" Montanita Beach, Montanita, Ecuador",-1.826847,-80.752973
" Honolua Bay, Maui, Hawaii",21.0139,156.6385
" Trestles, Orange County, California",33.385,-117.595
" Sultans, North Male, Maldives",4.4167,73.5
"Lance's Right, Sipora, Mentawais Islands, Sumatera Barat, Indonesia",2.3753,99.8556
" Cloud Nine, Siargao Island, Philippines",9.8482,126.0458
" Puerto Escondido, Southern Oaxaca, Mexico",15.865535,-97.069447
" Hossegor, France",43.6646,1.3977
"Maverick's, California",37.4956,122.4967
" P-Pass, Pohnpei, Federated States of Micronesia",6.8541,158.2624
" Uluwatu and Kuta, Bali, Indonesia",8.8291,115.0849
"Teahupo'o, Tahiti, French Polynesia",17.8471,149.2677
"Supertubes, Jeffrey's Bay, South Africa",34.0315,24.9318
" Pipeline, Oahu, Hawaii",21.4389,158.0001
